Actual,Population,RandMatchProb
GBR,GBR,4.9396070623740964e-64
GBR,CEU,1.7645128445090971e-65
GBR,IBS,9.223822328215367e-66
GBR,TSI,4.713997133413754e-66
GBR,FIN,5.4905976678863315e-67
GBR,CLM,4.9102258443069e-70
GBR,PUR,1.9918272521957509e-72
GBR,MXL,1.1113449656185689e-72
GBR,GIH,3.979203821251373e-74
GBR,PJL,2.463262491035351e-75
GBR,ITU,6.5839161079946e-76
GBR,STU,1.3428981795404175e-76
GBR,BEB,3.7174074338778674e-77
GBR,PEL,1.4555282613342324e-84
GBR,ASW,4.27192618783931e-91
GBR,ACB,1.016997407768169e-95
GBR,KHV,7.900703420393481e-99
GBR,GWD,3.4235757059081417e-103
GBR,CHB,7.790179864767538e-104
GBR,CHS,2.660301752613345e-105
GBR,LWK,1.0057605752064446e-105
GBR,CDX,5.974617673368981e-107
GBR,YRI,2.550083407657721e-110
GBR,MSL,1.8733785435514837e-110
GBR,JPT,3.331857172788486e-113
GBR,ESN,3.812581489670176e-114
