Actual,Population,RandMatchProb
PUR,PUR,6.536139504455231e-64
PUR,TSI,1.6427478459997905e-67
PUR,IBS,5.418070597474813e-68
PUR,GBR,9.738518812257076e-70
PUR,CLM,1.6199526462655725e-70
PUR,FIN,6.021950804875281e-71
PUR,CEU,3.6566091279098635e-71
PUR,GIH,2.0114219006524545e-72
PUR,MXL,1.8871304548189332e-72
PUR,PJL,1.1379853869975998e-72
PUR,STU,1.5067807701122867e-74
PUR,BEB,1.1169811442553131e-74
PUR,ITU,6.734365408525404e-76
PUR,PEL,5.317498967886566e-85
PUR,ASW,1.621107274642522e-85
PUR,ACB,6.568148184145837e-87
PUR,LWK,2.3163523111761614e-95
PUR,GWD,8.748451288703445e-98
PUR,CHB,8.284184822635656e-98
PUR,MSL,5.736489648896832e-99
PUR,KHV,1.562443844545638e-99
PUR,YRI,1.5693424487475322e-101
PUR,ESN,1.9954783864869546e-103
PUR,CHS,1.89107644518335e-107
PUR,CDX,9.320917739710922e-109
PUR,JPT,4.510919071846607e-109
