Actual,Population,RandMatchProb
TSI,TSI,7.820181999579242e-70
TSI,FIN,7.099549256140885e-70
TSI,CEU,3.473708129881506e-70
TSI,IBS,2.5249524609955874e-70
TSI,GBR,1.757032834074153e-71
TSI,PUR,5.245448702457794e-73
TSI,CLM,1.6403883058820927e-74
TSI,PJL,1.9542524892245184e-75
TSI,GIH,3.6203739519461316e-76
TSI,BEB,4.491381603348403e-77
TSI,STU,7.235077115311099e-78
TSI,ITU,4.754160398300154e-78
TSI,MXL,2.459029953133371e-78
TSI,ASW,3.870634331074719e-81
TSI,ACB,1.776885797491363e-84
TSI,PEL,1.1100117381421014e-89
TSI,LWK,1.1965091880533932e-91
TSI,MSL,3.3105559748261994e-94
TSI,YRI,2.5204432078072285e-94
TSI,GWD,9.955375244534556e-96
TSI,ESN,2.3237233426242926e-96
TSI,KHV,4.597860570590559e-97
TSI,CHB,2.6070500434410633e-98
TSI,CHS,1.1606041001886849e-100
TSI,JPT,5.41128817719626e-101
TSI,CDX,5.444763690160335e-103
