Actual,Population,RandMatchProb
LWK,LWK,1.574719114550847e-69
LWK,MSL,5.721734870785708e-75
LWK,ACB,4.0578294231680897e-75
LWK,ASW,1.2577444006747424e-76
LWK,YRI,4.255032281840242e-77
LWK,GWD,3.695610547661069e-77
LWK,ESN,2.3893447985554026e-77
LWK,PUR,5.934025447735543e-100
LWK,CLM,2.473185238823689e-108
LWK,IBS,1.3965023895799425e-116
LWK,MXL,1.0345043800222306e-117
LWK,GIH,1.456355249832743e-118
LWK,STU,1.4337754045431134e-118
LWK,BEB,1.0971392132618783e-118
LWK,TSI,3.825048650677323e-119
LWK,ITU,2.8192915072933583e-120
LWK,PJL,4.4850755372463645e-121
LWK,FIN,2.4516660653130774e-121
LWK,GBR,3.841982792994268e-122
LWK,CEU,2.1600549540140683e-122
LWK,PEL,3.45749070408856e-128
LWK,CHS,3.720323831399631e-134
LWK,CHB,2.0910226793103873e-135
LWK,CDX,1.3139020599920439e-135
LWK,KHV,1.3342618058640146e-137
LWK,JPT,3.8219266223460644e-138
