Actual,Population,RandMatchProb
CDX,CDX,1.7109072287213877e-61
CDX,JPT,1.2419856953572654e-63
CDX,KHV,8.43647827696037e-64
CDX,CHS,2.071978466545342e-64
CDX,CHB,1.0992886745905661e-64
CDX,BEB,4.767259359439022e-77
CDX,ITU,4.9536102647439865e-82
CDX,MXL,3.5135776081237835e-82
CDX,GIH,1.61187053242844e-82
CDX,PJL,5.761201498776201e-83
CDX,PEL,5.749038689584428e-85
CDX,CLM,5.0631222381755695e-85
CDX,PUR,5.4332148528559905e-86
CDX,STU,3.781086921040936e-86
CDX,ASW,3.974818311733879e-89
CDX,CEU,7.829258626710826e-94
CDX,GBR,5.986836377351675e-94
CDX,ACB,4.189972555473387e-94
CDX,FIN,1.8386184723959173e-94
CDX,TSI,8.49456294618002e-96
CDX,IBS,7.699763987595089e-96
CDX,YRI,3.776416258773373e-101
CDX,GWD,2.136868017990358e-102
CDX,LWK,1.1100401962740744e-102
CDX,MSL,9.310896805040509e-105
CDX,ESN,8.310069998026129e-105
