Actual,Population,RandMatchProb
CHB,CHB,2.4751555010159535e-61
CHB,JPT,4.205580884051084e-62
CHB,CDX,3.092327843869301e-63
CHB,CHS,2.679246684835614e-63
CHB,KHV,5.9253795041248936e-64
CHB,BEB,3.653192677519797e-74
CHB,GIH,1.2187922561839484e-75
CHB,PJL,1.0868884865353507e-75
CHB,ITU,3.2149849168930656e-76
CHB,MXL,2.9528467123498407e-77
CHB,STU,6.524749312677869e-78
CHB,CLM,2.5268808847290068e-79
CHB,PUR,8.97603485632608e-80
CHB,PEL,4.649708575868984e-82
CHB,FIN,2.3076225720369468e-85
CHB,TSI,1.3606169324751794e-88
CHB,GBR,3.282656305328672e-90
CHB,CEU,2.786988251395949e-90
CHB,IBS,1.1451752244169136e-90
CHB,ASW,1.070590682128904e-93
CHB,ACB,1.0948609064907283e-94
CHB,LWK,1.811345668962015e-100
CHB,GWD,5.871137971660431e-103
CHB,YRI,1.2046107633404541e-105
CHB,ESN,1.01553279885272e-107
CHB,MSL,4.423365633532501e-108
