Actual,Population,RandMatchProb
STU,STU,2.081713834211009e-71
STU,GIH,1.3540458424364119e-72
STU,BEB,7.93720879962189e-73
STU,ITU,9.616229357555162e-74
STU,PJL,4.0311987703600685e-75
STU,CLM,7.953910661017485e-82
STU,PUR,6.130614067487353e-84
STU,CEU,2.706511174376337e-85
STU,TSI,1.6260362365422035e-85
STU,GBR,9.648002891473547e-86
STU,FIN,1.8244405981120438e-86
STU,MXL,1.2219482635393603e-87
STU,ASW,9.274153838203296e-88
STU,KHV,3.8662602289789945e-88
STU,IBS,1.7658011220084352e-89
STU,CHB,1.1086467462733288e-89
STU,CHS,8.226819672237953e-90
STU,ACB,7.898220509121243e-90
STU,JPT,1.6703337013890682e-91
STU,CDX,7.122512633054307e-92
STU,PEL,1.78189399013809e-94
STU,LWK,1.9245686736867614e-95
STU,GWD,2.0084836046930865e-98
STU,MSL,6.302561743771729e-101
STU,YRI,4.030998989085882e-102
STU,ESN,2.4700928600391826e-103
