Actual,Population,RandMatchProb
TSI,FIN,5.392517552387551e-70
TSI,IBS,5.3864336621325414e-70
TSI,TSI,2.596062858534775e-70
TSI,CEU,1.553811549535684e-70
TSI,GBR,3.5981363713668504e-71
TSI,PUR,2.460243746087608e-73
TSI,CLM,1.199760710627998e-74
TSI,GIH,5.988298889929248e-75
TSI,PJL,3.128348857062719e-75
TSI,STU,7.610229465443687e-76
TSI,MXL,3.822889338270478e-77
TSI,ITU,1.0662190142709437e-77
TSI,BEB,1.0753809971451079e-78
TSI,PEL,8.501194210477315e-89
TSI,ASW,6.586060679236632e-90
TSI,ACB,5.381770028496905e-98
TSI,LWK,2.0249260257480156e-104
TSI,CDX,4.3977327901108564e-107
TSI,ESN,3.335497890657894e-107
TSI,KHV,6.7653223299423e-108
TSI,GWD,5.525223185164038e-108
TSI,CHS,5.317002030152636e-108
TSI,YRI,2.868534033747412e-108
TSI,CHB,1.558232739170582e-108
TSI,MSL,3.93826950982273e-110
TSI,JPT,2.063068062985513e-112
